,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,new_addition,github_release_downloads
0,react-native-maps,react-native-maps/react-native-maps,components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,MIT,2015-12-29 19:54:20,2023-04-30 20:09:36,2023-04-23 13:51:31,1474,68.0,4546,220,1134,37,3399,14002,2023-04-23 13:51:39,1.7.1,100.0,React Native Mapview component for iOS + Android.,150944.0,150944.0,478,https://www.npmjs.com/package/react-native-maps,701655.0,701655.0,43,True,1,True,
1,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,MIT,2016-10-19 05:56:53,2023-04-28 18:46:33,2023-04-28 12:00:54,1900,107.0,1877,115,1713,68,2009,10659,2023-04-17 13:44:19,5.7.0,100.0,Material Design for React Native (Android & iOS).,117235.0,117235.0,296,https://www.npmjs.com/package/react-native-paper,548638.0,548638.0,42,True,1,True,
2,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,,2017-01-26 19:51:40,2023-04-27 14:48:14,2023-03-24 08:50:45,2627,60.0,4675,327,1671,614,8422,22379,2023-03-01 14:55:05,react-native-drawer-layout@3.2.0,100.0,Routing and navigation for your React Native apps.,202198.0,202198.0,252,https://www.npmjs.com/package/@react-navigation/native,2983056.0,2983056.0,41,False,1,True,
3,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,MIT,2016-08-15 17:14:25,2023-04-30 19:46:12,2023-04-30 16:39:27,18032,756.0,3878,266,10747,243,10836,20197,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",658680.0,658680.0,1095,,,,39,True,1,True,
4,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,Apache-2.0,2017-01-27 18:24:50,2023-04-21 10:49:12,2023-04-15 09:36:47,712,20.0,1683,238,294,23,685,15826,2023-02-04 08:31:50,5.1.5,19.0,Lottie wrapper for React Native.,100166.0,100166.0,130,https://www.npmjs.com/package/lottie-react-native,1136500.0,1136500.0,39,True,1,True,
5,Gifted Chat,FaridSafi/react-native-gifted-chat,components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,MIT,2015-11-14 15:45:34,2023-04-19 06:18:19,2023-03-23 10:01:23,1337,7.0,3212,196,843,92,1438,12379,2023-03-23 10:06:20,2.0.1,63.0,The most complete chat UI for React Native.,22519.0,22519.0,210,https://www.npmjs.com/package/react-native-gifted-chat,132931.0,132931.0,39,True,3,True,12.0
6,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,MIT,2016-09-08 14:21:41,2023-04-23 20:36:29,2023-04-23 20:27:57,2389,5.0,4408,377,1608,58,1980,23583,2022-12-23 20:15:46,3.4.3,84.0,Cross-Platform React Native UI Toolkit.,7964.0,7964.0,394,https://www.npmjs.com/package/react-native-elements,382919.0,382919.0,38,True,2,True,
7,react-native-vector-icons,oblador/react-native-vector-icons,components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,MIT,2015-05-15 16:38:57,2023-04-17 22:46:26,2022-12-19 12:47:02,584,,2024,212,344,372,778,16593,2022-06-24 20:26:52,9.2.0-1,64.0,Customizable Icons for React Native with support for image source and full styling.,437630.0,437630.0,125,https://www.npmjs.com/package/react-native-vector-icons,1442689.0,1442689.0,38,True,3,True,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,MIT,2017-02-08 09:55:18,2023-04-27 12:03:31,2023-04-27 05:39:22,3809,74.0,636,331,1900,47,511,5345,2023-04-13 09:02:38,7.3.0,100.0,UI Components Library for React Native.,2876.0,2876.0,135,https://www.npmjs.com/package/react-native-ui-lib,80727.0,80727.0,35,True,2,True,
9,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,MIT,2016-04-15 11:37:23,2023-04-19 06:23:38,2023-03-06 08:05:15,6322,24.0,2248,269,2249,227,3155,19271,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",,,298,https://www.npmjs.com/package/native-base,327488.0,327488.0,33,True,2,True,
10,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,MIT,2016-12-20 08:22:38,2023-04-26 16:30:36,2023-04-26 16:13:33,836,15.0,892,125,561,139,975,9604,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,5751.0,5751.0,62,https://www.npmjs.com/package/react-native-ui-kitten,1207.0,1207.0,32,True,3,True,
11,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,MIT,2016-02-10 16:06:07,2023-04-26 14:34:50,2023-04-26 03:17:08,2417,23.0,1223,238,1012,32,1217,15224,2023-04-26 03:17:13,8.7.0,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",,,192,,,,28,True,3,True,
12,Shoutem UI,shoutem/ui,ui-frameworks,@shoutem/ui,https://github.com/shoutem/ui,https://github.com/shoutem/ui,,2016-08-08 15:26:08,2023-03-31 08:34:38,2023-03-31 08:34:37,1231,2.0,434,94,464,101,215,4802,2023-01-10 14:17:30,6.1.2,84.0,Customizable set of components for React Native applications.,1396.0,1396.0,55,https://www.npmjs.com/package/@shoutem/ui,2518.0,2518.0,27,False,3,True,34.0
13,RNMK,xinthink/react-native-material-kit,ui-frameworks,react-native-material-kit,https://github.com/xinthink/react-native-material-kit,https://github.com/xinthink/react-native-material-kit,MIT,2015-07-01 12:33:24,2023-01-04 06:15:00,2020-03-08 04:28:42,496,,564,100,163,150,156,4842,2016-12-18 05:14:29,0.3.4,15.0,Bringing Material Design to React Native.,1525.0,1525.0,76,https://www.npmjs.com/package/react-native-material-kit,912.0,912.0,26,False,3,True,
14,React Native Material UI,xotahal/react-native-material-ui,ui-frameworks,react-native-material-ui,https://github.com/xotahal/react-native-material-ui,https://github.com/xotahal/react-native-material-ui,MIT,2016-03-24 15:40:53,2023-04-19 08:31:36,2019-04-19 21:39:12,524,,602,90,205,170,144,3783,2019-04-20 05:02:31,2.0.0-alpha.1@deelop,20.0,Highly customizable material design components for React Native.,2880.0,2880.0,71,https://www.npmjs.com/package/react-native-material-ui,4956.0,4956.0,26,False,3,True,
15,Galio,galio-org/galio,ui-frameworks,galio,https://github.com/galio-org/galio,https://github.com/galio-org/galio,MIT,2018-06-17 16:14:11,2023-04-20 22:58:40,2022-03-30 11:06:58,419,,303,56,131,41,85,3014,2022-03-30 11:08:29,0.8.1,11.0,"Galio is a beautifully designed, Free and Open Source React Native Framework.",2558.0,2558.0,37,https://www.npmjs.com/package/galio,,,24,False,3,True,
16,Teaset,rilyu/teaset,ui-frameworks,teaset,https://github.com/rilyu/teaset,https://github.com/rilyu/teaset,MIT,2016-12-07 03:48:10,2021-05-29 08:52:27,2020-10-23 07:45:44,144,,468,71,29,188,245,2903,2020-04-01 09:07:17,0.7.4,20.0,"A UI library for react native, provides 20+ pure JS(ES6) components, focusing on content display and action control.",716.0,716.0,13,https://www.npmjs.com/package/teaset,710.0,710.0,23,False,3,True,
17,Nachos UI,nachos-ui/nachos-ui,ui-frameworks,nachos-ui,https://github.com/nachos-ui/nachos-ui,https://github.com/nachos-ui/nachos-ui,MIT,2017-01-30 14:22:09,2021-03-12 10:42:57,2018-08-15 19:47:46,58,,121,35,14,13,34,2062,,,,Nachos UI is a React Native component library.,333.0,333.0,10,https://www.npmjs.com/package/nachos-ui,761.0,761.0,19,False,3,True,
