,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,new_addition
0,react-native-maps,react-native-maps/react-native-maps,components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,MIT,2015-12-29 19:54:20,2023-05-02 19:15:49,2023-04-23 13:51:31,1474,68.0,4548,219,1136,39,3400,14012,2023-04-23 13:51:39,1.7.1,100.0,React Native Mapview component for iOS + Android.,151244.0,151244.0,478,https://www.npmjs.com/package/react-native-maps,724560.0,724560.0,43,True,1,,,
1,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,MIT,2016-10-19 05:56:53,2023-05-04 16:25:24,2023-05-03 09:25:59,1903,109.0,1881,115,1719,68,2015,10680,2023-05-03 09:26:49,5.7.2,100.0,Material Design for React Native (Android & iOS).,117798.0,117798.0,296,https://www.npmjs.com/package/react-native-paper,562565.0,562565.0,42,True,1,,,
2,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,,2017-01-26 19:51:40,2023-04-27 14:48:14,2023-03-24 08:50:45,2627,60.0,4677,327,1671,614,8424,22389,2023-03-01 14:55:05,react-native-drawer-layout@3.2.0,100.0,Routing and navigation for your React Native apps.,203573.0,203573.0,252,https://www.npmjs.com/package/@react-navigation/native,3039825.0,3039825.0,41,True,1,,,
3,Gifted Chat,FaridSafi/react-native-gifted-chat,components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,MIT,2015-11-14 15:45:34,2023-05-04 08:18:35,2023-05-03 09:11:06,1350,20.0,3213,194,847,92,1439,12392,2023-03-23 10:06:20,2.0.1,63.0,The most complete chat UI for React Native.,22581.0,22581.0,211,https://www.npmjs.com/package/react-native-gifted-chat,134965.0,134965.0,40,True,2,12.0,1.0,
4,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,MIT,2016-08-15 17:14:25,2023-05-04 17:06:02,2023-05-04 01:27:15,18049,721.0,3886,267,10771,249,10857,20258,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",661591.0,661591.0,1095,,,,39,True,1,,,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,Apache-2.0,2017-01-27 18:24:50,2023-05-04 15:27:58,2023-05-04 09:04:05,713,14.0,1683,237,296,24,686,15834,2023-02-04 08:31:50,5.1.5,20.0,Lottie wrapper for React Native.,100300.0,100300.0,131,https://www.npmjs.com/package/lottie-react-native,1163621.0,1163621.0,39,True,1,,,
6,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,MIT,2016-09-08 14:21:41,2023-04-23 20:36:29,2023-04-23 20:27:57,2389,4.0,4408,377,1608,59,1980,23599,2022-12-23 20:15:46,3.4.3,84.0,Cross-Platform React Native UI Toolkit.,8101.0,8101.0,394,https://www.npmjs.com/package/react-native-elements,389493.0,389493.0,38,True,2,,,
7,react-native-vector-icons,oblador/react-native-vector-icons,components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,MIT,2015-05-15 16:38:57,2023-04-17 22:46:26,2022-12-19 12:47:02,584,,2025,212,344,373,778,16601,2022-06-24 20:26:52,9.2.0-1,64.0,Customizable Icons for React Native with support for image source and full styling.,439950.0,439950.0,125,https://www.npmjs.com/package/react-native-vector-icons,1470886.0,1470886.0,38,True,2,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,MIT,2017-02-08 09:55:18,2023-05-03 07:24:13,2023-05-03 07:24:12,3812,75.0,637,331,1901,44,514,5362,2023-04-13 09:02:38,7.3.0,100.0,UI Components Library for React Native.,2885.0,2885.0,135,https://www.npmjs.com/package/react-native-ui-lib,82812.0,82812.0,35,True,2,,,
9,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,MIT,2016-04-15 11:37:23,2023-05-02 10:24:31,2023-03-06 08:05:15,6322,22.0,2249,269,2250,229,3155,19286,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",,,298,https://www.npmjs.com/package/native-base,333336.0,333336.0,33,True,2,,,
10,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,MIT,2016-12-20 08:22:38,2023-05-03 18:39:22,2023-04-26 16:13:33,836,15.0,893,125,562,139,976,9615,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,5768.0,5768.0,62,https://www.npmjs.com/package/react-native-ui-kitten,1165.0,1165.0,32,True,3,,,
11,react-native-svg-charts,JesperLekland/react-native-svg-charts,components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,MIT,2017-10-30 09:28:29,2023-01-17 09:26:21,2020-04-14 18:49:24,386,,343,15,150,174,275,2230,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,6172.0,6172.0,39,https://www.npmjs.com/package/react-native-svg-charts,132425.0,132425.0,29,True,3,,,True
12,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,MIT,2016-02-10 16:06:07,2023-05-04 00:01:26,2023-05-04 00:01:25,2419,22.0,1224,238,1013,29,1220,15245,2023-05-04 00:01:30,8.8.0,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",,,192,,,,28,True,3,,,
