,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending
0,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,MIT,2015-12-29 19:54:20,2023-07-03 08:05:54,2023-04-23 13:51:31,1474,57.0,4567,220,1146,38,3427,14176,2023-04-23 13:51:39,1.7.1,100.0,React Native Mapview component for iOS + Android.,156318.0,156318.0,478,https://www.npmjs.com/package/react-native-maps,766694.0,766694.0,43,True,1,,
1,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,MIT,2016-10-19 05:56:53,2023-07-04 21:04:26,2023-07-04 12:40:11,1954,70.0,1903,117,1758,71,2059,10932,2023-07-04 12:41:20,5.9.1,100.0,Material Design for React Native (Android & iOS).,126926.0,126926.0,301,https://www.npmjs.com/package/react-native-paper,594252.0,594252.0,42,True,1,,
2,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,MIT,2015-11-14 15:45:34,2023-06-21 06:17:14,2023-06-15 18:23:37,1389,49.0,3239,193,857,112,1444,12540,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,23632.0,23632.0,216,https://www.npmjs.com/package/react-native-gifted-chat,165640.0,165640.0,41,True,1,12.0,
3,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,,2017-01-26 19:51:40,2023-07-06 17:45:47,2023-07-03 18:13:36,2635,8.0,4703,324,1692,624,8474,22551,2023-06-22 13:20:45,react-native-tab-view@3.5.2,100.0,Routing and navigation for your React Native apps.,226450.0,226450.0,252,https://www.npmjs.com/package/@react-navigation/native,3131628.0,3131628.0,39,True,1,,
4,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,MIT,2016-08-15 17:14:25,2023-07-06 17:11:24,2023-07-06 16:26:45,18653,800.0,3984,273,11337,298,11190,21332,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",188776.0,188776.0,1126,,,,39,True,1,,
5,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,MIT,2016-09-08 14:21:41,2023-07-05 16:52:38,2023-06-18 16:19:17,2399,11.0,4431,377,1616,66,1986,23766,2022-12-23 20:15:46,3.4.3,84.0,Cross-Platform React Native UI Toolkit.,10248.0,10248.0,400,https://www.npmjs.com/package/react-native-elements,401935.0,401935.0,38,True,1,,
6,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,Apache-2.0,2017-01-27 18:24:50,2023-06-25 21:15:45,2023-06-22 16:32:25,718,8.0,1684,238,305,34,690,15956,2023-05-14 18:09:46,5.1.6,22.0,Lottie wrapper for React Native.,102745.0,102745.0,132,https://www.npmjs.com/package/lottie-react-native,1209092.0,1209092.0,38,True,1,,
7,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,MIT,2015-05-15 16:38:57,2023-07-05 08:36:18,2023-05-25 12:53:51,585,1.0,2035,214,350,384,780,16752,2022-06-24 20:26:52,9.2.0-1,64.0,Customizable Icons for React Native with support for image source and full styling.,472274.0,472274.0,125,https://www.npmjs.com/package/react-native-vector-icons,1562623.0,1562623.0,37,True,1,,
8,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,,2015-07-02 22:36:50,2023-07-06 17:58:43,2023-06-13 00:08:24,8433,9.0,487,130,776,258,1491,10390,2022-08-04 17:11:19,36.6.0,95.0,A collection of composable React components for building interactive data visualizations.,20136.0,20136.0,220,https://www.npmjs.com/package/victory-native,290884.0,290884.0,35,True,1,,
9,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,MIT,2017-02-08 09:55:18,2023-07-06 15:14:11,2023-07-06 12:05:36,3873,82.0,647,335,1961,45,528,5502,2023-06-21 09:25:20,7.5.0,100.0,UI Components Library for React Native.,3086.0,3086.0,135,https://www.npmjs.com/package/react-native-ui-lib,76141.0,76141.0,35,True,2,,
