,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads
0,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,MIT,2016-10-19 05:56:53,2023-08-03 15:00:58,2023-08-02 11:54:34,1972,69.0,1911,116,1775,77,2082,11058,2023-08-02 11:55:15,5.10.0,100.0,Material Design for React Native (Android & iOS).,131645.0,131645.0,304,https://www.npmjs.com/package/react-native-paper,630071.0,630071.0,42,True,1,,
1,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,,2017-01-26 19:51:40,2023-08-02 07:40:51,2023-08-01 09:05:17,2638,11.0,4723,323,1704,650,8489,22621,2023-06-22 13:20:45,react-native-tab-view@3.5.2,100.0,Routing and navigation for your React Native apps.,234506.0,234506.0,253,https://www.npmjs.com/package/@react-navigation/native,3296167.0,3296167.0,41,True,1,2.0,
2,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,MIT,2015-12-29 19:54:20,2023-07-19 04:28:04,2023-04-23 13:51:31,1474,,4570,220,1151,56,3429,14233,2023-04-23 13:51:39,1.7.1,100.0,React Native Mapview component for iOS + Android.,157995.0,157995.0,478,https://www.npmjs.com/package/react-native-maps,857383.0,857383.0,41,True,1,,
3,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,MIT,2016-09-08 14:21:41,2023-08-01 23:08:11,2023-07-28 19:22:57,2400,11.0,4443,376,1620,72,1988,23839,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,10903.0,10903.0,400,https://www.npmjs.com/package/react-native-elements,479649.0,479649.0,40,True,1,1.0,
4,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,MIT,2016-08-15 17:14:25,2023-08-03 17:18:30,2023-08-03 17:18:28,18908,852.0,4058,279,11588,324,11370,22556,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",724806.0,724806.0,1156,,,,40,True,1,,
5,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,MIT,2015-05-15 16:38:57,2023-08-03 04:40:53,2023-07-20 08:34:21,604,20.0,2043,211,357,300,878,16823,2023-07-17 13:34:46,10.0.0,65.0,Customizable Icons for React Native with support for image source and full styling.,485052.0,485052.0,135,https://www.npmjs.com/package/react-native-vector-icons,1662504.0,1662504.0,40,True,1,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,MIT,2015-11-14 15:45:34,2023-07-18 21:59:18,2023-06-15 18:23:37,1389,19.0,3243,193,863,117,1447,12608,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,24004.0,24004.0,216,https://www.npmjs.com/package/react-native-gifted-chat,147539.0,147539.0,40,True,1,-1.0,12.0
7,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,Apache-2.0,2017-01-27 18:24:50,2023-08-03 11:36:06,2023-08-02 14:22:43,735,22.0,1690,236,324,26,709,16016,2023-07-25 18:19:08,6.0.1,25.0,Lottie wrapper for React Native.,103665.0,103665.0,134,https://www.npmjs.com/package/lottie-react-native,1197829.0,1197829.0,39,True,2,,
8,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,,2015-07-02 22:36:50,2023-07-06 17:58:43,2023-06-13 00:08:24,8433,5.0,486,130,776,265,1491,10441,2022-08-04 17:11:19,36.6.0,95.0,A collection of composable React components for building interactive data visualizations.,20576.0,20576.0,220,https://www.npmjs.com/package/victory-native,284706.0,284706.0,35,True,1,,
9,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,MIT,2017-02-08 09:55:18,2023-08-03 11:26:49,2023-08-03 11:07:47,3892,80.0,651,336,1986,42,536,5566,2023-07-20 08:18:22,7.6.0,100.0,UI Components Library for React Native.,3152.0,3152.0,136,https://www.npmjs.com/package/react-native-ui-lib,134114.0,134114.0,35,True,2,,
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,MIT,2016-04-15 11:37:23,2023-07-27 08:23:13,2023-03-06 08:05:15,6322,,2280,271,2254,251,3158,19582,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",,,299,https://www.npmjs.com/package/native-base,368043.0,368043.0,32,True,2,,
11,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,MIT,2016-12-20 08:22:38,2023-06-12 07:53:24,2023-06-12 07:53:24,841,4.0,900,125,569,126,1015,9747,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,6226.0,6226.0,62,https://www.npmjs.com/package/react-native-ui-kitten,1295.0,1295.0,31,True,3,,
12,react-native-svg-charts,JesperLekland/react-native-svg-charts,chart-components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,MIT,2017-10-30 09:28:29,2023-05-17 10:28:38,2020-04-14 18:49:24,386,,356,15,151,177,275,2259,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,6542.0,6542.0,39,https://www.npmjs.com/package/react-native-svg-charts,142191.0,142191.0,29,True,1,-1.0,
13,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,MIT,2016-02-10 16:06:07,2023-08-02 17:48:48,2023-07-05 18:02:51,2435,16.0,1253,241,1034,30,1239,15563,2023-07-05 18:02:57,8.8.4,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",,,195,,,,28,True,3,,
14,react-native-chart-kit,indiespirit/react-native-chart-kit,chart-components,react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,MIT,2017-12-20 02:30:08,2023-06-12 13:43:45,2022-02-08 04:03:57,336,,590,14,176,371,150,2577,,,,"React Native Chart Kit: Line Chart, Bezier Line Chart, Progress Ring, Bar chart, Pie chart, Contribution graph..",13472.0,13472.0,102,https://www.npmjs.com/package/react-native-chart-kit,151919.0,151919.0,28,True,2,,
15,react-native-charts-wrapper,wuxudong/react-native-charts-wrapper,chart-components,react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,,2017-03-03 07:58:57,2023-07-11 07:20:11,2023-04-25 01:56:55,332,,593,51,113,177,672,2331,2022-10-15 10:15:27,0.5.11,34.0,a react native charts wrapper (support android & iOS).,1246.0,1246.0,55,https://www.npmjs.com/package/react-native-charts-wrapper,70444.0,70444.0,28,True,2,,
16,RNMK,xinthink/react-native-material-kit,ui-frameworks,react-native-material-kit,https://github.com/xinthink/react-native-material-kit,https://github.com/xinthink/react-native-material-kit,MIT,2015-07-01 12:33:24,2023-01-04 06:15:00,2020-03-08 04:28:42,496,,563,101,163,150,156,4845,2016-12-18 05:14:29,0.3.4,15.0,Bringing Material Design to React Native.,1546.0,1546.0,76,https://www.npmjs.com/package/react-native-material-kit,811.0,811.0,26,True,3,,
17,Shoutem UI,shoutem/ui,ui-frameworks,@shoutem/ui,https://github.com/shoutem/ui,https://github.com/shoutem/ui,,2016-08-08 15:26:08,2023-03-31 08:34:38,2023-03-31 08:34:37,1231,,436,97,464,101,215,4822,2023-01-10 14:17:30,6.1.2,84.0,Customizable set of components for React Native applications.,1402.0,1402.0,55,https://www.npmjs.com/package/@shoutem/ui,1364.0,1364.0,26,True,3,,37.0
18,React Native Material UI,xotahal/react-native-material-ui,ui-frameworks,react-native-material-ui,https://github.com/xotahal/react-native-material-ui,https://github.com/xotahal/react-native-material-ui,MIT,2016-03-24 15:40:53,2023-04-19 08:31:36,2019-04-19 21:39:12,524,,600,89,205,170,144,3788,2019-04-20 05:02:31,2.0.0-alpha.1@deelop,20.0,Highly customizable material design components for React Native.,2921.0,2921.0,71,https://www.npmjs.com/package/react-native-material-ui,4830.0,4830.0,25,True,3,,
19,Galio,galio-org/galio,ui-frameworks,galio,https://github.com/galio-org/galio,https://github.com/galio-org/galio,MIT,2018-06-17 16:14:11,2023-04-20 22:58:40,2022-03-30 11:06:58,419,,308,57,131,42,85,3040,2022-03-30 11:08:29,0.8.1,11.0,"Galio is a beautifully designed, Free and Open Source React Native Framework.",2638.0,2638.0,37,https://www.npmjs.com/package/galio,,,23,True,3,,
20,Teaset,rilyu/teaset,ui-frameworks,teaset,https://github.com/rilyu/teaset,https://github.com/rilyu/teaset,MIT,2016-12-07 03:48:10,2021-05-29 08:52:27,2020-10-23 07:45:44,144,,469,71,29,189,245,2923,2020-04-01 09:07:17,0.7.4,20.0,"A UI library for react native, provides 20+ pure JS(ES6) components, focusing on content display and action control.",724.0,724.0,13,https://www.npmjs.com/package/teaset,681.0,681.0,23,True,3,,
21,react-native-pathjs-charts,capitalone/react-native-pathjs-charts,chart-components,react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,Apache-2.0,2016-07-29 19:43:20,2018-03-01 15:28:09,2018-03-01 15:28:09,128,,252,36,74,72,87,879,2018-02-19 01:42:23,0.0.34,14.0,Android and iOS charts based on react-native-svg and paths-js.,672.0,672.0,27,https://www.npmjs.com/package/react-native-pathjs-charts,404.0,404.0,22,False,2,,
22,react-native-echarts,wuba/react-native-echarts,chart-components,@wuba/react-native-echarts,https://github.com/wuba/react-native-echarts,https://github.com/wuba/react-native-echarts,Apache-2.0,2023-01-09 06:12:24,2023-07-19 09:55:07,2023-07-19 03:40:43,91,25.0,21,21,52,9,27,425,2023-07-19 09:46:15,1.2.2,11.0,"React Native ECharts Library: An awesome charting library for React Native, built upon Apache ECharts and leveraging..",21.0,21.0,10,https://www.npmjs.com/package/@wuba/react-native-echarts,4008.0,4008.0,22,True,2,,
23,react-native-graph,margelo/react-native-graph,chart-components,react-native-graph,https://github.com/margelo/react-native-graph,https://github.com/margelo/react-native-graph,MIT,2022-04-29 12:40:18,2023-07-18 17:27:02,2023-06-07 12:38:27,83,2.0,69,14,32,30,23,1517,2023-02-20 10:49:18,1.0.1,5.0,"Beautiful, high-performance Graphs and Charts for React Native.",77.0,77.0,12,https://www.npmjs.com/package/react-native-graph,5542.0,5542.0,20,True,3,-1.0,
24,Nachos UI,nachos-ui/nachos-ui,ui-frameworks,nachos-ui,https://github.com/nachos-ui/nachos-ui,https://github.com/nachos-ui/nachos-ui,MIT,2017-01-30 14:22:09,2021-03-12 10:42:57,2018-08-15 19:47:46,58,,120,34,14,13,34,2066,,,,Nachos UI is a React Native component library.,338.0,338.0,10,https://www.npmjs.com/package/nachos-ui,353.0,353.0,19,True,3,,
25,react-native-animated-charts,rainbow-me/react-native-animated-charts,chart-components,@rainbow-me/animated-charts,https://github.com/rainbow-me/react-native-animated-charts,https://github.com/rainbow-me/react-native-animated-charts,MIT,2020-09-14 19:18:48,2022-10-02 23:16:37,2021-10-25 17:08:17,19,,93,14,14,56,25,866,,,6.0,Set of components and helpers for building complex and beautifully animated charts.,672.0,672.0,5,https://www.npmjs.com/package/@rainbow-me/animated-charts,1539.0,1539.0,18,True,3,,
26,Material Kit React Native,creativetimofficial/material-kit-react-native,templates,material-kit-react-native,https://github.com/creativetimofficial/material-kit-react-native,https://github.com/creativetimofficial/material-kit-react-native,MIT,2019-01-09 12:35:13,2023-07-31 23:58:33,2022-04-18 10:03:45,60,,595,18,9,2,26,545,2022-04-18 10:03:23,1.9.0,8.0,Material Kit React Native.,,,7,https://www.npmjs.com/package/material-kit-react-native,,,15,True,1,1.0,
27,react-native-highcharts,TradingPal/react-native-highcharts,chart-components,react-native-highcharts,https://github.com/TradingPal/react-native-highcharts,https://github.com/TradingPal/react-native-highcharts,,2016-11-18 17:56:58,2022-03-23 08:45:14,2017-12-01 22:33:30,74,,128,9,32,59,40,253,,,,Add Highcharts charts to react-native app for IOS and Android.,265.0,265.0,5,https://www.npmjs.com/package/react-native-highcharts,670.0,670.0,15,False,3,,
28,react-native-charts,chartiful/react-native-charts,chart-components,@chartiful/react-native-chart-builder,https://github.com/chartiful/react-native-charts,https://github.com/chartiful/react-native-charts,MIT,2020-05-27 00:31:59,2022-12-06 22:22:09,2020-10-17 07:33:31,110,,9,3,40,9,2,66,,,,SVG Charts for React Native.,185.0,185.0,2,https://www.npmjs.com/package/@chartiful/react-native-chart-builder,943.0,943.0,11,True,3,,
29,react-native-skia-charts,vladanyes/react-native-skia-charts,chart-components,react-native-skia-charts,https://github.com/vladanyes/react-native-skia-charts,https://github.com/vladanyes/react-native-skia-charts,MIT,2022-12-28 17:49:18,2023-03-13 08:45:32,2023-03-13 08:45:20,54,,8,7,4,2,4,123,,,1.0,High-performance charts for react-native.,8.0,8.0,3,https://www.npmjs.com/package/react-native-skia-charts,108.0,108.0,10,True,3,,
