,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,license,github_release_downloads
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2023-09-26 13:00:21,2023-09-25 11:33:37,2664.0,30.0,4739.0,324.0,1726.0,653.0,8549.0,22750.0,2023-09-25 07:30:29,@react-navigation/material-top-tabs@6.6.4,100.0,Routing and navigation for your React Native apps.,769630.0,769630.0,261.0,https://www.npmjs.com/package/@react-navigation/native,3412317.0,3412317.0,42,True,1,1.0,,
1,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2023-09-22 11:07:32,2023-09-20 21:35:01,2005.0,54.0,1922.0,116.0,1796.0,84.0,2131.0,11284.0,2023-09-20 21:36:02,5.10.6,100.0,Material Design for React Native (Android & iOS).,146738.0,146738.0,308.0,https://www.npmjs.com/package/react-native-paper,632646.0,632646.0,42,True,1,,MIT,
2,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2023-09-19 19:55:17,2023-04-23 13:51:31,1474.0,,4571.0,217.0,1158.0,73.0,3442.0,14351.0,2023-04-23 13:51:39,1.7.1,100.0,React Native Mapview component for iOS + Android.,161078.0,161078.0,478.0,https://www.npmjs.com/package/react-native-maps,891222.0,891222.0,41,True,1,,MIT,
3,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2023-09-28 17:01:20,2023-09-28 10:16:47,19355.0,764.0,4145.0,284.0,12040.0,333.0,11727.0,23590.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source platform for making universal native apps with React. Expo runs on Android, iOS, and the web.",758853.0,758853.0,1189.0,,,,40,True,1,,MIT,
4,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2023-09-19 16:40:15,2023-07-20 08:34:21,604.0,19.0,2050.0,208.0,362.0,154.0,1034.0,16920.0,2023-07-17 13:34:46,10.0.0,65.0,Customizable Icons for React Native with support for image source and full styling.,507330.0,507330.0,135.0,https://www.npmjs.com/package/react-native-vector-icons,1752673.0,1752673.0,40,True,1,,MIT,
5,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2023-09-22 08:58:57,2023-09-16 15:16:44,760.0,42.0,1690.0,234.0,340.0,29.0,728.0,16133.0,2023-09-16 15:17:47,6.3.1,31.0,Lottie wrapper for React Native.,105386.0,105386.0,137.0,https://www.npmjs.com/package/lottie-react-native,1297895.0,1297895.0,39,True,1,,Apache-2.0,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2023-09-21 13:42:39,2023-09-21 13:42:39,1395.0,4.0,3254.0,193.0,865.0,126.0,1450.0,12699.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,24690.0,24690.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,136227.0,136227.0,39,True,1,,MIT,12.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2023-09-10 14:07:26,2023-06-13 00:08:24,8433.0,,491.0,128.0,779.0,277.0,1491.0,10518.0,2022-08-04 17:11:19,36.6.0,95.0,A collection of composable React components for building interactive data visualizations.,21332.0,21332.0,222.0,https://www.npmjs.com/package/victory-native,301677.0,301677.0,35,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2023-09-28 13:21:56,2023-09-28 11:55:02,3945.0,75.0,654.0,337.0,2024.0,54.0,540.0,5693.0,2023-08-30 09:00:20,7.8.0,100.0,UI Components Library for React Native.,3310.0,3310.0,139.0,https://www.npmjs.com/package/react-native-ui-lib,174594.0,174594.0,35,True,2,,MIT,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2023-09-09 10:05:52,2023-09-09 10:05:52,2405.0,6.0,4468.0,373.0,1624.0,75.0,1992.0,24025.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,4.0,4.0,404.0,https://www.npmjs.com/package/react-native-elements,514498.0,514498.0,34,True,2,1.0,MIT,
10,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,2016-12-20 08:22:38,2023-09-27 20:41:13,2023-06-12 07:53:24,841.0,,908.0,126.0,572.0,128.0,1017.0,9828.0,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,11160.0,11160.0,62.0,https://www.npmjs.com/package/react-native-ui-kitten,1293.0,1293.0,31,True,2,1.0,MIT,
