,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-10-10 10:21:10,2024-10-10 10:21:08,2995.0,79.0,4844.0,316.0,1876.0,734.0,8766.0,23518.0,2024-07-25 16:17:39,@react-navigation/native-stack@6.11.0,100.0,Routing and navigation for your React Native apps.,1030727.0,1030727.0,299.0,https://www.npmjs.com/package/@react-navigation/native,4978500.0,4978500.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-10-01 02:05:14,2024-08-18 09:44:54,1587.0,17.0,4600.0,218.0,1247.0,60.0,3634.0,15087.0,2024-08-18 09:45:00,1.18.0,100.0,React Native Mapview component for iOS + Android.,183866.0,183866.0,503.0,https://www.npmjs.com/package/react-native-maps,1170492.0,1170492.0,42,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-10-10 17:50:32,2024-10-10 17:47:36,23585.0,941.0,5284.0,300.0,16307.0,413.0,14116.0,33381.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",1016785.0,1016785.0,1479.0,,,,41,True,1,MIT,,
3,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-10-10 10:48:36,2024-09-15 18:05:08,632.0,5.0,2073.0,203.0,408.0,134.0,1114.0,17412.0,2024-09-15 18:06:03,10.2.0,70.0,Customizable Icons for React Native with support for image source and full styling.,624653.0,624653.0,150.0,https://www.npmjs.com/package/react-native-vector-icons,2438630.0,2438630.0,41,True,1,MIT,,
4,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-10-01 19:12:38,2024-10-01 19:05:31,1472.0,62.0,3320.0,192.0,885.0,178.0,1475.0,13494.0,2024-10-01 19:12:38,2.6.4,75.0,The most complete chat UI for React Native.,29539.0,29539.0,224.0,https://www.npmjs.com/package/react-native-gifted-chat,184296.0,184296.0,41,True,1,MIT,16.0,
5,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-08-21 04:23:07,2024-07-28 18:33:36,2094.0,14.0,2053.0,122.0,1909.0,240.0,2264.0,12825.0,2024-07-28 18:34:09,5.12.5,100.0,Material Design for React Native (Android & iOS).,213700.0,213700.0,330.0,https://www.npmjs.com/package/react-native-paper,1128297.0,1128297.0,41,True,1,MIT,,
6,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-09-22 06:47:47,2024-09-22 06:47:47,825.0,9.0,1720.0,228.0,418.0,34.0,816.0,16702.0,2024-09-15 20:16:25,7.0.0,41.0,Lottie wrapper for React Native.,119075.0,119075.0,150.0,https://www.npmjs.com/package/lottie-react-native,1613508.0,1613508.0,39,True,1,Apache-2.0,,-1.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-10-09 14:32:29,2024-10-09 14:28:34,8573.0,13.0,512.0,121.0,923.0,87.0,1776.0,10982.0,2024-10-08 13:01:58,37.1.2,100.0,A collection of composable React components for building interactive data visualizations.,25553.0,25553.0,237.0,https://www.npmjs.com/package/victory-native,462209.0,462209.0,38,True,1,,,1.0
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-10-10 14:52:24,2024-10-09 09:27:38,4322.0,91.0,692.0,322.0,2482.0,82.0,584.0,6478.0,2024-09-30 06:37:01,7.32,100.0,UI Components Library for React Native.,4327.0,4327.0,154.0,https://www.npmjs.com/package/react-native-ui-lib,300480.0,300480.0,36,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-05-01 22:24:47,2024-02-04 03:55:07,2427.0,,4571.0,370.0,1646.0,123.0,2003.0,25000.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,504362.0,504362.0,32,True,2,MIT,,
